country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Antigua and Barbuda,ATG,37,0.03928,0.10348,0.03654,0.1154,0.0
Argentina,ARG,21,0.12747,0.1905,0.02424,0.17494,0.11014
Aruba,ABW,16,0.03383,0.08693,0.0088,0.10202,0.0
Australia,AUS,54,0.05173,0.10383,0.03527,0.08591,0.0041
"Bahamas, The",BHS,39,0.0459,0.08693,0.03022,0.07423,0.0
Bahrain,BHR,29,0.03508,0.10058,0.05228,0.08922,0.0
Barbados,BRB,29,0.0386,0.09765,0.01112,0.09835,0.0
Brunei Darussalam,BRN,16,0.05885,0.03078,0.011,0.0555,-0.01921
Canada,CAN,48,0.04551,0.10006,0.03458,0.07479,0.00111
Chile,CHL,38,0.12915,0.2197,0.04726,0.26546,0.09259
Croatia,HRV,20,0.03534,0.13762,0.0202,1.15252,0.00498
Cyprus,CYP,33,0.05863,0.13187,0.06008,0.07822,0.00452
Czech Republic,CZE,22,0.03745,0.11808,0.02511,0.07524,-0.01604
Denmark,DNK,25,0.03941,0.08195,0.02174,0.12022,0.01506
Estonia,EST,16,0.07242,0.2056,0.04205,0.1066,0.00196
"Hong Kong SAR, China",HKG,24,0.01452,0.10295,0.03778,0.06715,-0.0001
Hungary,HUN,24,0.09622,0.13269,0.01829,0.14959,0.0506
Iceland,ISL,37,0.1395,0.21293,0.0277,0.19329,0.11018
Israel,ISR,36,0.27639,0.38534,0.04046,0.66719,0.23016
Japan,JPN,54,0.02661,0.09932,0.03634,0.05028,-0.02281
"Korea, Rep.",KOR,35,0.04385,0.15966,0.06588,0.08476,0.01631
Kuwait,KWT,23,0.04327,0.10492,0.0532,0.07205,-0.00136
Latvia,LVA,21,0.05133,0.15972,0.06181,0.16212,-0.0121
Lithuania,LTU,18,0.07477,0.17514,0.05281,0.18086,-0.0296
"Macao SAR, China",MAC,28,0.05453,0.13898,0.07346,0.07463,-0.00011
Malta,MLT,33,0.03176,0.13255,0.05142,0.06946,-0.00656
New Zealand,NZL,12,0.02691,0.08678,0.02707,0.069,-0.02767
Norway,NOR,28,0.04994,0.12282,0.02979,0.10278,0.00879
Oman,OMN,31,0.03798,0.10261,0.04106,0.08199,0.00358
Panama,PAN,15,0.01119,0.0711,0.03175,0.09621,0.0
Poland,POL,25,0.10757,0.18945,0.03648,0.35927,0.05128
Seychelles,SYC,26,0.05859,0.16662,0.03557,0.12878,0.03311
Singapore,SGP,37,0.01959,0.10156,0.06808,0.06614,-0.01611
Slovak Republic,SVK,16,0.05542,0.10839,0.05304,0.11844,-0.02404
Slovenia,SVN,12,0.06163,0.28909,0.04086,0.51236,0.04435
St. Kitts and Nevis,KNA,34,0.03283,0.1299,0.0404,0.10301,0.0
Sweden,SWE,20,0.08562,0.13492,0.02147,0.10951,0.01165
Switzerland,CHE,34,0.01638,0.0645,0.01755,0.04471,-0.02285
Trinidad and Tobago,TTO,35,0.05013,0.11092,0.02357,0.12115,0.02931
United States,USA,54,0.03442,0.05753,0.0314,0.07323,0.0
Uruguay,URY,39,0.32279,0.37847,0.02603,0.62287,0.26255
